unique_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
450600,Doctor Daedalus (Earth-616),\/Doctor_Daedalus_(Earth-616),,Bad Characters,,Bald,Male Characters,,Deceased Characters,3,Feb-80,1980
579670,Earl Cowan (Earth-616),\/Earl_Cowan_(Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,3,Jul-80,1980
339708,Harek Korgon (Earth-616),\/Harek_Korgon_(Earth-616),,,Red Eyes,Blond Hair,Male Characters,,Living Characters,3,Nov-80,1980
625809,John Ehrmann (Earth-616),\/John_Ehrmann_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3,Aug-80,1980
121455,Leoninus (Earth-616),\/Leoninus_(Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,3,Oct-80,1980
93635,Marcus Immortus (Earth-616),\/Marcus_Immortus_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,3,Oct-80,1980
706992,Mary Shamara (Earth-616),\/Mary_Shamara_(Earth-616),No Dual Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,3,Mar-80,1980
404756,Paul Bailey (Earth-616),\/Paul_Bailey_(Earth-616),Secret Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,3,Oct-80,1980
707004,Phyllis Shamara (Earth-616),\/Phyllis_Shamara_(Earth-616),No Dual Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,3,Mar-80,1980
454298,Ray-na (Earth-616),\/Ray-na_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,3,Apr-80,1980
72932,Siren (Changelings) (Earth-616),\/Siren_(Changelings)_(Earth-616),Secret Identity,,,Blond Hair,Female Characters,,Living Characters,3,Sep-80,1980
247220,Timothy Braverman (Earth-616),\/Timothy_Braverman_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Feb-80,1980
42952,Willard Harrison (Earth-616),\/Willard_Harrison_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,3,Aug-80,1980
36086,Yahweh (Earth-616),\/Yahweh_(Earth-616),No Dual Identity,Neutral Characters,Variable Eyes,Variable Hair,Male Characters,,Living Characters,3,Oct-80,1980
352370,Aquon (Microverse) (Earth-616),\/Aquon_(Microverse)_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,3,Jun-81,1981
30592,Astron (Earth-616),\/Astron_(Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Deceased Characters,3,Apr-81,1981
21328,Berserker (Primitive) (Earth-616),\/Berserker_(Primitive)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,3,May-81,1981
343972,Elaine Banner (Earth-616),\/Elaine_Banner_(Earth-616),,,Brown Eyes,Blond Hair,Female Characters,,Deceased Characters,3,Apr-81,1981
502989,Ira Gross (Earth-616),\/Ira_Gross_(Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,3,Nov-81,1981
640529,Mia Carrera (Earth-616),\/Mia_Carrera_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,3,Dec-81,1981
19515,Mud-Thing (Earth-616),\/Mud-Thing_(Earth-616),Secret Identity,Neutral Characters,White Eyes,,Male Characters,,Living Characters,3,Jun-81,1981
2201,Nadar (Earth-616),\/Nadar_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,3,Jan-81,1981
389610,Ozzie Palmer (Earth-616),\/Ozzie_Palmer_(Earth-616),,Bad Characters,,Blond Hair,Male Characters,,Living Characters,3,Jun-81,1981
12775,Ral Dorn (Earth-616),\/Ral_Dorn_(Earth-616),,,,,Male Characters,,Living Characters,3,Oct-81,1981
243081,Ramon Hernandez (Doctor) (Earth-616),\/Ramon_Hernandez_(Doctor)_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,3,Mar-81,1981
302461,Red Fowler (Earth-616),\/Red_Fowler_(Earth-616),Public Identity,Good Characters,,Red Hair,Male Characters,,Living Characters,3,Dec-81,1981
686776,Shastra (Earth-616),\/Shastra_(Earth-616),,,,Brown Hair,Female Characters,,Deceased Characters,3,Apr-81,1981
7319,Stygorr (Earth-616),\/Stygorr_(Earth-616),,Bad Characters,Violet Eyes,,Male Characters,,Living Characters,3,Jun-81,1981
555914,Ursula Richards (Earth-616),\/Ursula_Richards_(Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,3,Dec-81,1981
16075,William McLaughlin (Earth-616),\/William_McLaughlin_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3,Jan-81,1981
20509,William Scott (Earth-616),\/William_Scott_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,3,Oct-81,1981
249897,Xi Shan-Hao (Earth-616),\/Xi_Shan-Hao_(Earth-616),,Bad Characters,,Bald,Male Characters,,Living Characters,3,Mar-81,1981
